Year,Day,Hour,Wind #,WIND Bt,WIND Bx_gse,WIND By_gse,WIND Bz_gse
2020,1,0,60,2.5,0.3,-0.7,-0.2
2020,1,1,57,2.9,2.2,0.6,0.7
2020,1,2,62,4.0,3.3,-1.6,0.1
2020,1,3,57,5.3,4.8,-2.1,0.4
2020,1,4,64,4.4,3.5,-0.8,1.8
2020,1,5,58,4.1,3.3,-2.0,0.5
2020,1,6,66,4.2,2.2,-1.9,-1.8
2020,1,7,58,4.3,1.2,-2.0,-3.3
2020,1,8,64,3.9,0.6,-2.3,-3.0
2020,1,9,56,3.9,1.3,-1.4,-1.6
2020,1,10,60,4.8,4.1,-0.8,1.7
2020,1,11,59,4.8,4.2,-1.5,-0.5
2020,1,12,60,4.5,4.3,-0.4,0.4
2020,1,13,63,4.1,2.9,-1.3,0.4
2020,1,14,59,3.8,-0.3,-2.5,-1.7
2020,1,15,59,4.5,4.3,0.1,1.0
2020,1,16,62,4.4,3.8,-1.8,-0.4
2020,1,17,59,4.0,3.0,-2.5,-0.3
2020,1,18,60,3.3,2.6,-2.0,-0.2
2020,1,19,60,2.7,2.0,-1.9,-0.0
2020,1,20,60,2.7,1.5,-2.3,0.2
2020,1,21,59,2.3,1.3,-1.4,0.7
2020,1,22,56,2.7,1.9,-0.3,1.3
2020,1,23,60,3.5,2.9,-1.1,1.4
2020,2,0,60,4.7,4.6,0.6,0.1
2020,2,1,60,3.8,2.6,2.6,-0.4
2020,2,2,61,3.3,1.7,2.6,-0.6
2020,2,3,59,3.8,2.5,2.6,1.0
2020,2,4,61,3.8,3.3,-0.3,1.5
2020,2,5,62,3.6,2.3,-0.1,1.9
2020,2,6,59,3.6,-0.9,-3.1,-1.2
2020,2,7,61,3.8,-2.2,-1.0,-2.2
2020,2,8,60,4.1,0.1,-3.3,-1.0
2020,2,9,63,4.3,3.0,-2.4,1.3
2020,2,10,62,3.3,1.4,-1.7,0.2
2020,2,11,58,2.3,0.9,-1.7,-0.3
2020,2,12,60,2.2,-0.4,-0.9,-1.6
2020,2,13,57,2.5,1.0,-1.9,-1.3
2020,2,14,60,2.3,0.3,-2.0,-0.8
2020,2,15,62,1.9,0.4,-1.6,-0.7
2020,2,16,61,1.7,0.0,-1.2,-0.8
2020,2,17,63,1.9,0.5,1.0,-0.3
2020,2,18,61,3.2,2.1,-0.2,1.9
2020,2,19,63,3.4,1.4,0.4,2.3
2020,2,20,62,4.6,0.6,-2.9,2.6
2020,2,21,60,4.4,-1.2,-3.5,-1.0
2020,2,22,56,4.4,0.5,-3.8,0.0
2020,2,23,57,4.0,1.5,-3.4,1.3
2020,3,0,59,2.2,1.4,-1.0,1.2
2020,3,1,62,1.7,1.4,0.5,0.5
2020,3,2,56,2.9,1.2,1.3,0.7
2020,3,3,61,2.3,-1.5,-0.2,0.2
2020,3,4,61,3.4,-1.2,2.0,-1.2
2020,3,5,61,5.5,-1.9,2.8,-3.8
2020,3,6,60,9.2,-2.6,-4.6,-6.5
2020,3,7,61,7.1,-0.6,-5.9,0.2
2020,3,8,62,9.1,-0.6,-6.8,-5.7
2020,3,9,61,7.4,-0.2,-5.3,-2.6
2020,3,10,60,6.4,1.9,0.4,5.8
